"","gene_short_name","num_cells_expressed","gene_id","status","term","estimate","std_err","test_val","p_value","normalized_effect","model_component","q_value"
"85","MEIKIN",495,"MEIKIN","OK","treatmentcontrol",4.502652224,0.338840478,13.28841304,2.82e-39,5.156506486,"count",9.39e-35
"86","HS3ST5",653,"HS3ST5","OK","treatmentcontrol",3.927066555,0.185381442,21.18370915,2.14e-93,5.154462155,"count",7.51e-89
"89","LINC01505",255,"LINC01505","OK","treatmentcontrol",5.699517456,0.754065447,7.558385654,5.28e-14,5.11070002,"count",1.11e-09
"90","LINC01725",651,"LINC01725","OK","treatmentcontrol",3.771648324,0.237794076,15.86098523,1.26e-54,5.107197416,"count",4.31e-50
"92","AC008937.2",430,"AC008937.2","OK","treatmentcontrol",6.710209817,0.855299375,7.845451561,5.81e-15,5.099937643,"count",1.24e-10
"98","AP000857.2",439,"AP000857.2","OK","treatmentcontrol",6.675340965,1.03160443,6.470833948,1.12e-10,5.051063916,"count",2.24e-06
"101","MAP3K7CL",549,"MAP3K7CL","OK","treatmentcontrol",4.079883465,0.225742426,18.07317987,1.2e-69,5.000453237,"count",4.17e-65
"104","ROR1-AS1",314,"ROR1-AS1","OK","treatmentcontrol",6.617233375,0.928465488,7.127064456,1.26e-12,4.969727965,"count",2.59e-08
"106","IL3RA",527,"IL3RA","OK","treatmentcontrol",4.563110175,0.323652251,14.0988056,7.4e-44,4.961010436,"count",2.49e-39
"109","CNBD1",316,"CNBD1","OK","treatmentcontrol",4.420009347,0.396975871,11.13420152,2.76e-28,4.913794366,"count",6.46e-24
"110","MYO3B-AS1",546,"MYO3B-AS1","OK","treatmentcontrol",4.41049679,0.323088378,13.65105368,2.69e-41,4.900365672,"count",9e-37
"112","AL157938.2",425,"AL157938.2","OK","treatmentcontrol",5.527132036,0.779159587,7.09370985,1.6e-12,4.868953918,"count",3.29e-08
"114","POLQ",461,"POLQ","OK","treatmentcontrol",4.559102124,0.347065078,13.13615922,1.92e-38,4.863306092,"count",6.39e-34
"117","AC068722.1",517,"AC068722.1","OK","treatmentcontrol",3.904208402,0.251293878,15.53642468,1.47e-52,4.837399438,"count",5e-48
"118","AL020995.1",388,"AL020995.1","OK","treatmentcontrol",5.864209709,0.875653643,6.696951194,2.5e-11,4.828627918,"count",5.05e-07
"121","AKNAD1",429,"AKNAD1","OK","treatmentcontrol",5.054549103,0.498971396,10.12993759,9.14e-24,4.817969947,"count",2.09e-19
"124","DLEU7",311,"DLEU7","OK","treatmentcontrol",4.891614261,0.46753357,10.46259473,3.22e-25,4.795581106,"count",7.39e-21
"125","AC073167.1",374,"AC073167.1","OK","treatmentcontrol",6.491728252,1.040784683,6.237340306,5.03e-10,4.794556828,"count",9.93e-06
"129","AC090572.3",484,"AC090572.3","OK","treatmentcontrol",4.426977996,0.375433946,11.79162952,1.87e-31,4.769214525,"count",4.43e-27
"131","AC022146.2",365,"AC022146.2","OK","treatmentcontrol",6.464221634,0.82267037,7.857608429,5.28e-15,4.756263325,"count",1.12e-10
"132","PCAT1",648,"PCAT1","OK","treatmentcontrol",3.601169522,0.190896494,18.8645137,2.09e-75,4.74462576,"count",7.28e-71
"137","A2M",311,"A2M","OK","treatmentcontrol",3.88125657,0.330513538,11.7431092,3.25e-31,4.718508907,"count",7.69e-27
"138","AC007277.1",398,"AC007277.1","OK","treatmentcontrol",5.15459371,0.63094398,8.169653519,4.38e-16,4.697204325,"count",9.44e-12
"139","AC007221.1",254,"AC007221.1","OK","treatmentcontrol",5.742790305,0.819337859,7.009062554,2.91e-12,4.65948688,"count",5.96e-08
"140","AC008700.1",386,"AC008700.1","OK","treatmentcontrol",4.794221914,0.455181835,10.53254227,1.57e-25,4.659304866,"count",3.62e-21
"141","AC004039.1",376,"AC004039.1","OK","treatmentcontrol",5.375520543,0.639014947,8.412198439,5.95e-17,4.657378553,"count",1.29e-12
"151","AC016821.1",388,"AC016821.1","OK","treatmentcontrol",4.625861404,0.41941351,11.02935718,8.54e-28,4.591553849,"count",1.99e-23
"154","IL7",373,"IL7","OK","treatmentcontrol",4.615069932,0.342477882,13.47552697,2.59e-40,4.576485779,"count",8.65e-36
"160","LINC01811",234,"LINC01811","OK","treatmentcontrol",4.692187236,0.539833834,8.691910257,5.56e-18,4.516982394,"count",1.22e-13
"162","FGF12-AS1",331,"FGF12-AS1","OK","treatmentcontrol",4.822392791,0.514156162,9.379237568,1.21e-20,4.494027856,"count",2.71e-16
"163","AC108449.1",311,"AC108449.1","OK","treatmentcontrol",6.273900044,0.781460293,8.028430998,1.37e-15,4.492383975,"count",2.93e-11
